Country_Name,Country Code,Series_Name,Series Code,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Argentina,ARG,CO2 emissions (metric tons per capita),CO2PC,3.830198391,3.870270007,3.876926392,4.030588815,3.854991948,3.587350317,3.309683688,3.546088324,4.094082917,4.168128548,4.465186021,4.414246417,4.718224428,4.445387803,4.606804136,4.644106454,4.625259616,4.589774171,4.588229602,4.664010748,4.619085482,,
Argentina,ARG,CO2 emissions (kt),CO2T,135000.605,138003.878,139815.376,146984.361,142136.587,133720.822,124714.67,135062.944,157589.325,162110.736,175436.614,175176.257,189107.19,179961.692,187904.414,191622.752,193027.213,193701.941,195777.463,201167.953,201347.636,,
Argentina,ARG,Total greenhouse gas emissions (kt of CO2 equivalent),GHGT,288246.2679,299708.76,311514.7,333886.59,331450.87,326483.81,311051.93,344797.06,369944.11,358385.64,373600.56,384547.75,411503.63,373409.0656,364684.2538,372873.1438,380295.3204,,,,,,
Argentina,ARG,Terrestrial and marine protected areas (% of total territorial area),TPAP,,,,,,,,,,,,,,,,,,,,,7.528593349,7.40512875,7.40512875
Argentina,ARG,Access to electricity (% of population),ATEP,,,,,,95.51106347,96.10791016,96.38489532,96.63864899,96.86739349,97.08002472,97.28813171,97.5032959,97.73710632,98.82,99.27869415,99.49785614,99.47655487,100,99.82711792,99.9591217,100,100
Argentina,ARG,Energy use (kg of oil equivalent per capita),EUPC,1589.917647,1621.909504,1658.495404,1668.225144,1669.526745,1570.897164,1510.313202,1598.789541,1728.214003,1720.673713,1853.041666,1858.392218,1937.641467,1865.337264,1928.652357,1952.051053,1936.80354,1967.021678,2029.922825,,,,
Argentina,ARG,GDP per unit of energy use (PPP $ per kg of oil equivalent),GDPPUE,6.658276041,7.095277688,7.204973846,6.942642338,6.959335096,7.146793308,6.655895374,6.895957996,7.067840012,7.885729096,8.068749053,8.916315412,8.982089313,8.756990129,9.365054463,9.898423043,10.14111781,10.23460019,9.696807809,,,,
Argentina,ARG,Total natural resources rents (% of GDP),NRPGDP,1.614679158,1.448263702,0.850515507,1.442540189,2.4076815,1.992737278,5.80334674,5.064666557,4.88426198,5.678006643,6.029728159,4.974128228,5.054556821,3.197538588,3.466662039,3.902869048,3.76621596,3.371080145,3.043864039,1.356256493,1.14484723,1.298936133,2.235890922
Australia,AUS,CO2 emissions (metric tons per capita),CO2PC,16.50180039,16.51427321,16.93569585,17.19029769,17.20060983,16.73336743,17.37045177,16.90195895,17.02651535,17.16971145,17.65139831,17.86526004,18.16087566,18.20018196,17.74084505,17.53887776,17.07290468,16.09805289,15.39110908,15.33978358,15.53922046,,
Australia,AUS,CO2 emissions (kt),CO2T,302164.467,305794.797,316883.805,325343.574,329443.28,324844.862,341353.696,336271.234,342699.485,350172.831,365346.877,372090.49,385904.079,394792.887,390861.863,391818.95,388126.281,372317.844,361316.844,365332.209,375907.837,,
Australia,AUS,Total greenhouse gas emissions (kt of CO2 equivalent),GHGT,508882.826,921012.05,920773.48,1190138.38,1081244.41,1241515.99,1117450.02,1023667.58,1144343.87,909262.03,1119632.1,1065623.87,892629.27,1105167.236,782102.6922,785795.15,761686.2739,,,,,,
Australia,AUS,Terrestrial and marine protected areas (% of total territorial area),TPAP,,,,,,,,,,,,,,,,,,,,,28.59184172,29.70879373,29.70879373
Australia,AUS,Access to electricity (% of population),ATEP,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
